exp_name,method,dataset,model,topk,batch,EM,hit_rate,citation_precision,citation_recall,hallucination_rate,factscore,soft_hit_rate,semantic_similarity,bertscore
cuad_selfrag_Qwen2___5-7B-Instruct_top5_20260413_2227,selfrag,cuad,Qwen2___5-7B-Instruct,5,True,0.0,0.4,1.0,1.0,0.87146978021978,0.12853021978021975,0.375,0.2171246619646306,0.7800973027944564
cuad_llm_Qwen2___5-7B-Instruct_top5_20260413_2223,llm,cuad,Qwen2___5-7B-Instruct,5,True,0.0,0.35,0.0,0.0,0.9866666666666666,0.013333333333333332,0.05,0.1222599934760078,0.765561144053936
financebench_rag_Meta-Llama-3___1-8B-Instruct_top5_20260413_2125,rag,financebench,Meta-Llama-3___1-8B-Instruct,5,True,0.0,0.1,0.265,0.625,0.8895176006395358,0.1104823993604642,0.125,0.1322686902416564,0.7860223889350891
financebench_selfrag_Meta-Llama-3___1-8B-Instruct_top5_20260413_2146,selfrag,financebench,Meta-Llama-3___1-8B-Instruct,5,True,0.0,0.125,0.265,0.625,0.9287835428460429,0.07121645715395715,0.075,0.1150246596698878,0.7863785430788994
financebench_llm_Meta-Llama-3___1-8B-Instruct_top5_20260413_2136,llm,financebench,Meta-Llama-3___1-8B-Instruct,5,True,0.0,0.075,0.0,0.0,0.9560244514472457,0.04397554855275443,0.0,0.06342147765457828,0.766322785615921
cuad_rag_Meta-Llama-3___1-8B-Instruct_top5_20260413_2247,rag,cuad,Meta-Llama-3___1-8B-Instruct,5,True,0.0,0.45,1.0,1.0,0.8046537673647226,0.19534623263527726,0.5,0.24975710055660366,0.7761809960007667
cuad_rag_Qwen2___5-7B-Instruct_top5_20260413_2210,rag,cuad,Qwen2___5-7B-Instruct,5,True,0.0,0.45,1.0,1.0,0.774055898843084,0.22594410115691574,0.425,0.25779011270489627,0.7754037111997605
financebench_rag_Qwen2___5-7B-Instruct_top5_20260413_2342,rag,financebench,Qwen2___5-7B-Instruct,5,True,0.0,0.1,0.265,0.625,0.9132551229021061,0.0867448770978938,0.075,0.12935745480650357,0.7924331322312355
cuad_selfrag_Meta-Llama-3___1-8B-Instruct_top5_20260413_2306,selfrag,cuad,Meta-Llama-3___1-8B-Instruct,5,True,0.0,0.475,1.0,1.0,0.901517857142857,0.09848214285714284,0.275,0.1980663319621956,0.7739133343100548
financebench_llm_Qwen2___5-7B-Instruct_top5_20260413_2348,llm,financebench,Qwen2___5-7B-Instruct,5,True,0.0,0.05,0.0,0.0,0.9866666666666667,0.013333333333333332,0.0,0.03223867023416509,0.793707674741745
cuad_llm_Meta-Llama-3___1-8B-Instruct_top5_20260413_2259,llm,cuad,Meta-Llama-3___1-8B-Instruct,5,True,0.0,0.35,0.0,0.0,0.8664267676767679,0.13357323232323232,0.25,0.1943300162452641,0.7675315961241722
financebench_selfrag_Qwen2___5-7B-Instruct_top5_20260413_2351,selfrag,financebench,Qwen2___5-7B-Instruct,5,True,0.0,0.175,0.25999999999999995,0.6,0.9140277777777778,0.08597222222222226,0.125,0.1342540772565543,0.8017120972275734
